(1, 05-01-22, 23, 01, A)
(2, 08-03-22, 16, 01, A)
(3, 17-09-22, 16, 02, A)
(4, 12-06-23, 23, 02, A)
(5, 22-11-23, 02, 04, A)
(6, 17-01-21, 16, 02, A)
(7, 03-04-24, 10, 03, A)
(8, 15-07-24, 05, 04, A)
(9, 21-09-24, 08, 01, A)
(10, 02-12-24, 14, 02, A)
(11, 09-02-25, 20, 03, A)
(12, 18-05-25, 12, 04, A)
(13, 25-08-25, 19, 01, A)
(14, 30-11-25, 07, 02, A)
(15, 05-03-26, 03, 04, A)
(16, 11-06-26, 18, 01, A)
(19, 02-04-21, 12, 02, A)
(20, 06-04-21, 18, 04, A)
(21, 10-04-21, 06, 03, A)
(22, 14-04-21, 14, 01, A)
(23, 18-04-21, 21, 02, A)
(24, 22-04-21, 15, 04, A)
(25, 26-04-21, 07, 01, A)
(26, 30-04-21, 11, 03, A)
(27, 04-05-21, 19, 02, A)
(40, 26-04-22, 07, 01, A)
(41, 30-04-22, 11, 03, A)
(42, 04-05-22, 19, 02, A)
(43, 08-05-22, 08, 04, A)
(44, 12-05-22, 16, 01, A)
(45, 16-05-22, 05, 03, A)
(46, 20-05-22, 13, 02, A)
(47, 25-03-23, 23, 03, A)
(48, 29-03-23, 09, 01, A)
(49, 02-04-23, 12, 02, A)
(50, 06-04-23, 18, 04, A)
(51, 10-04-23, 06, 03, A)
(52, 14-04-23, 14, 01, A)
(53, 18-04-23, 21, 02, A)
(54, 22-04-23, 15, 04, A)
