(1, 05-01-22, 23, 01, A)
(4, 12-06-23, 23, 02, A)
(5, 22-11-23, 2, 04, A)
(7, 03-04-24, 10, 03, A)
(8, 15-07-24, 5, 04, A)
(9, 21-09-24, 8, 01, A)
(11, 09-02-25, 20, 03, A)
(13, 25-08-25, 19, 01, A)
(14, 30-11-25, 7, 02, A)
(15, 05-03-26, 3, 04, A)
(25, 26-04-21, 7, 01, A)
(26, 30-04-21, 11, 03, A)
(27, 04-05-21, 19, 02, A)
(40, 26-04-22, 7, 01, A)
(41, 30-04-22, 11, 03, A)
(42, 04-05-22, 19, 02, A)
(43, 08-05-22, 8, 04, A)
(45, 16-05-22, 5, 03, A)
(46, 20-05-22, 13, 02, A)
(47, 25-03-23, 23, 03, A)
(48, 29-03-23, 9, 01, A)
